file_name, filter_, image_size, camera, center_ra(deg), center_dec(deg), width_ra('), width_dec('), jd, exp_time(s), ccd_temp(C)
19970410_1750_14.72.fits,14.72,"(2048, 15000)",Loral1,267.49911701,33.0205524626,148.374980478,20.3150304214,2450548.98464,30720.0,-33.15
19970408_1030_14.72.fits,14.72,"(2048, 15000)",Loral1,157.499139843,33.0048851497,148.374980503,20.3150304214,2450546.68535,30720.0,-33.15
19970408_1130_14.72.fits,14.72,"(2048, 15000)",Loral1,172.499114333,33.0044753568,148.372883159,20.3150304214,2450546.72691,30720.0,-33.15
19970408_1110_14.72.fits,14.72,"(2048, 15000)",Loral1,167.498948318,33.0044879051,148.372673442,20.3150304214,2450546.71306,30720.0,-33.15
19970410_1730_14.72.fits,14.72,"(2048, 15000)",Loral1,262.499009873,33.0191224372,148.373931818,20.3150304214,2450548.97079,30720.0,-33.15
19970414_1750_14.72.fits,14.72,"(2048, 15000)",Loral1,267.498988084,33.0195871571,148.372883159,20.3159887228,2450552.97372,30720.0,-33.15
19970409_1740_14.72.fits,14.72,"(2048, 15000)",Loral1,265.003231677,33.0195932901,148.792347377,20.3159887228,2450547.98046,30720.0,-33.15
19970603_1310_14.72.fits,14.72,"(2048, 15000)",Loral1,197.499056574,32.9983881019,148.372883159,20.3159887228,2450602.64327,30720.0,-33.15
19970409_1210_14.72.fits,14.72,"(2048, 15000)",Loral1,182.499057773,33.0022765119,148.374980478,20.3159887228,2450547.75189,30720.0,-33.15
19970409_1140_14.72.fits,14.72,"(2048, 15000)",Loral1,174.999040095,33.0019716085,148.374980478,20.3159887228,2450547.73111,30720.0,-33.15
19970603_1740_14.72.fits,14.72,"(2048, 15000)",Loral1,264.999004564,33.0139403201,148.374980478,20.3159887228,2450602.83029,30720.0,-33.15
19970408_0850_14.72.fits,14.72,"(2048, 15000)",Loral1,132.499062422,33.0079356034,148.372883184,20.3150304214,2450546.61608,30720.0,-33.15
19970408_1010_14.72.fits,14.72,"(2048, 15000)",Loral1,152.499020496,33.005266827,148.372883159,20.3150304214,2450546.67149,30720.0,-33.15
19970410_1440_14.72.fits,14.72,"(2048, 15000)",Loral1,219.999075665,33.0078846396,148.372883159,20.3150304214,2450548.85306,30720.0,-33.15
19970409_1530_14.72.fits,14.72,"(2048, 15000)",Loral1,232.499074399,33.0106052417,148.372883184,20.3159887228,2450547.89042,30720.0,-33.15
19970410_1800_14.72.fits,14.72,"(2048, 15000)",Loral1,269.999101688,33.0212625591,148.372883184,20.3150304214,2450548.99157,30720.0,-33.15
19970410_1550_14.72.fits,14.72,"(2048, 15000)",Loral1,237.498972723,33.0121296588,148.3730929,20.3150304214,2450548.90154,30720.0,-33.15
